ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNCTour,0,-4.1,4082,28.75809,28.75809,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4083,28.76504,28.76504,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4084,28.77204,28.77204,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4085,28.779,28.779,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4086,28.78582,28.78582,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4087,28.79382,28.79382,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4088,28.79972,28.79972,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4089,28.80671,28.80671,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4090,28.81364,28.81364,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4091,28.82075,28.82075,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4092,28.82761,28.82761,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4093,28.83451,28.83451,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4094,28.8414,28.8414,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4095,28.8484,28.8484,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4096,28.85545,28.85545,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4097,28.86227,28.86227,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4098,28.86922,28.86922,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4099,28.87612,28.87612,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4100,28.8832,28.8832,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4101,28.89003,28.89003,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4102,28.89703,28.89703,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4103,28.90395,28.90395,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4104,28.91086,28.91086,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4105,28.9178,28.9178,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4106,28.92488,28.92488,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4107,28.93181,28.93181,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4108,28.93876,28.93876,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4109,28.9457,28.9457,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4110,28.95257,28.95257,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4111,28.95945,28.95945,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4112,28.96643,28.96643,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4113,28.9733,28.9733,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4114,28.98034,28.98034,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4115,28.98721,28.98721,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4116,28.99556,28.99556,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4117,29.00118,29.00118,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4118,29.00805,29.00805,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4119,29.01508,29.01508,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4120,29.02206,29.02206,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4121,29.02893,29.02893,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4122,29.03586,29.03586,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4123,29.04292,29.04292,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4124,29.04999,29.04999,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4125,29.05683,29.05683,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4126,29.06381,29.06381,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4127,29.07072,29.07072,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4128,29.07756,29.07756,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4129,29.08444,29.08444,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4130,29.09143,29.09143,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4131,29.09854,29.09854,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4132,29.10534,29.10534,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4133,29.11223,29.11223,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4134,29.1192,29.1192,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4135,29.12613,29.12613,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4136,29.13318,29.13318,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4137,29.14006,29.14006,Bank #1 || Task: None,(0.0, 0.0, 0.0)
